Pre-assign Room Name,Email Address
Capstone Group 1,test1@xxx.com
Capstone Group 2,test1@xxx.com
Capstone Group 3,test1@xxx.com
Capstone Group 4,test1@xxx.com
Capstone Group 5,test1@xxx.com
Capstone Group 6,test1@xxx.com
Grand Canyon,test1@xxx.com
Niagara Falls,test1@xxx.com
Crater Lake,test1@xxx.com
Old Faithful,test1@xxx.com
Florida Keys,test1@xxx.com
El Capitan,test1@xxx.com
Carlsbad Caverns,test1@xxx.com
Delicate Arch,test1@xxx.com
Chris,test1@xxx.com
Will,test1@xxx.com
Trish,test1@xxx.com
Sarah,test1@xxx.com
Paul,test1@xxx.com
Career Readiness,test1@xxx.com
Instructors,test1@xxx.com
