Pre-assign Room Name,Email Address
Eiffel Tower,test1@xxx.com
Great Wall of China,test1@xxx.com
Leaning Tower of Pisa,test1@xxx.com
Pyramid of Giza,test1@xxx.com
Big Ben,test1@xxx.com
Statue of Liberty,test1@xxx.com
Taj Mahal,test1@xxx.com
Machu Picchu,test1@xxx.com
Easter Island Moai,test1@xxx.com
Notre Dame,test1@xxx.com
Stonehenge,test1@xxx.com
Golden Gate Bridge,test1@xxx.com
Acropolis,test1@xxx.com
Trish,test1@xxx.com
Sarah,test1@xxx.com
Career Readiness,test1@xxx.com
Instructors,test1@xxx.com
